SAMPLE_ID	TAP1	B2M	IRF1	STAT1	CXCL9	CXCL10	PSMB9	NLRC5	HLA-A	HLA-B
TCGA-D6-6824-01	-0.6214	0.3613	-0.1105	-0.1164	-0.3681	-0.4369	-0.41	-0.8443	0.0	0.0
TCGA-D6-6823-01	-0.1576	-0.7751	-0.9512	-0.1625	-0.5465	-0.5048	-0.3534	0.5579	0.0	0.0
TCGA-CV-6962-01	-1.2538	-1.6162	-1.3937	-1.2328	-0.6329	-0.5337	-0.9932	-1.4448	0.0	0.0
TCGA-CV-6961-01	-0.1482	-0.4672	-0.5109	-0.1282	-0.2543	-0.2705	-0.3822	-0.827	0.0	0.0
TCGA-CV-6959-01	0.5983	0.5949	-0.2436	-0.1017	0.7189	0.6032	-0.0254	0.5855	0.0	0.0
TCGA-CV-6954-01	2.0373	0.348	-0.3666	1.085	2.2784	0.07	1.5884	-0.1329	0.0	0.0
TCGA-CV-6953-01	-1.2691	-1.4047	-1.209	-1.0408	-0.3336	-0.5165	-0.9532	-1.4277	0.0	0.0
TCGA-CV-6952-01	1.2109	1.0871	-0.0777	2.3473	0.041	0.5999	0.4185	0.8702	0.0	0.0
TCGA-CV-6951-01	-1.0256	-1.072	-0.782	-0.7401	-0.6223	-0.5341	-0.8415	-1.116	0.0	0.0
TCGA-CV-6950-01	-0.43	-0.0961	-0.6203	0.6355	0.1711	-0.4203	-0.2457	-0.1104	0.0	0.0
TCGA-CV-6948-01	-0.7395	-1.4467	-0.3847	-0.7052	-0.118	-0.4471	-0.4707	-0.3327	0.0	0.0
TCGA-CV-6945-01	-0.7629	-0.7621	-1.1217	-0.8499	-0.6295	-0.5314	-0.5378	-0.7622	0.0	0.0
TCGA-CV-6943-01	1.6269	2.0223	1.5463	2.3892	4.0622	1.0538	0.5071	1.2123	0.0	0.0
TCGA-CV-6941-01	-0.7126	-0.7429	-0.9713	-0.5229	-0.4373	-0.4924	-0.6189	-0.7845	0.0	0.0
TCGA-CV-6940-01	-1.218	-1.5216	-1.095	-1.0808	-0.6064	-0.5309	-0.9485	-1.4063	0.0	0.0
TCGA-CV-6939-01	-0.3218	-0.1387	-0.2824	-0.5962	-0.4218	-0.3389	-0.043	0.421	0.0	0.0
TCGA-CV-6938-01	1.9262	1.448	0.9597	2.0192	1.1424	1.8984	0.8707	0.6743	0.0	0.0
TCGA-CV-6936-01	0.8883	0.1093	0.8019	0.3781	-0.2382	-0.3588	0.142	1.6817	0.0	0.0
TCGA-CV-6935-01	-1.1044	-1.3767	-1.1454	-1.1128	-0.5816	-0.5252	-0.9506	-1.5789	0.0	0.0
TCGA-CV-6934-01	-0.2852	0.8025	-0.3889	-0.1107	-0.2051	-0.4017	-0.3337	0.2456	0.0	0.0
TCGA-CV-6933-01	-0.9456	-1.0247	-0.8591	-0.8927	-0.6013	-0.5187	-0.6624	-1.2909	0.0	0.0
TCGA-CQ-6229-01	0.4839	0.1244	-0.9265	1.107	4.256	1.5379	0.1118	1.0033	0.0	0.0
TCGA-CQ-6228-01	-1.1358	-1.0571	-0.8412	-0.8953	-0.6227	-0.529	-0.8826	-1.4507	0.0	0.0
TCGA-CQ-6227-01	-0.9008	-0.4733	-1.0896	-0.8442	-0.3152	-0.4773	-0.7162	-1.2024	0.0	0.0
TCGA-CQ-6225-01	-1.1781	-1.3597	-1.2267	-0.7321	-0.6379	-0.5357	-0.9268	-1.5633	0.0	0.0
TCGA-CQ-6224-01	-0.137	0.1022	-0.3135	0.2259	-0.4227	-0.069	-0.3281	-0.8569	0.0	0.0
TCGA-CQ-6223-01	0.0019	0.4805	0.0215	0.2949	-0.3019	-0.2363	-0.5748	0.9873	0.0	0.0
TCGA-CQ-6222-01	0.1091	0.7941	0.1775	0.2869	-0.051	-0.3585	0.1894	-0.4866	0.0	0.0
TCGA-CQ-6220-01	0.7455	0.0959	-0.3262	1.1287	-0.3655	-0.2097	0.9934	0.4595	0.0	0.0
TCGA-CQ-6219-01	1.8846	1.0738	0.7104	2.526	1.135	1.4996	2.2957	1.438	0.0	0.0
TCGA-CQ-6218-01	0.4578	0.9227	-0.3079	1.3944	-0.4169	0.3692	-0.2261	0.097	0.0	0.0
TCGA-CN-6996-01	1.5922	0.5798	0.7876	1.9926	1.2704	0.8584	0.5194	2.439	0.0	0.0
TCGA-CN-6994-01	-1.0057	-0.7425	-0.5586	-0.4561	-0.5921	-0.5214	-0.6086	-0.6666	0.0	0.0
TCGA-CN-6992-01	-0.8494	-1.0904	-1.01	-1.0743	-0.5897	-0.5234	-0.8645	-0.4965	0.0	0.0
TCGA-CN-6989-01	-0.8351	-0.7776	-0.8553	-0.9425	-0.6176	-0.5222	-0.6537	-0.9174	0.0	0.0
TCGA-CN-6988-01	-1.1321	-1.5345	-0.9512	-0.9721	-0.6321	-0.5344	-0.916	-1.3784	0.0	0.0
TCGA-BA-6868-01	-0.5367	-0.189	-0.9675	0.0006	-0.6109	-0.4855	-0.509	-1.0289	0.0	0.0
TCGA-DQ-5631-01	-0.9938	-1.0204	-1.0332	-0.9856	-0.6279	-0.5305	-0.6986	-1.1037	0.0	0.0
TCGA-DQ-5630-01	1.873	3.8496	2.274	0.9996	1.9218	1.4655	0.5147	0.674	0.0	0.0
TCGA-DQ-5629-01	-0.8722	-1.1333	-1.137	-0.7893	-0.6286	-0.5303	-0.7682	-1.2759	0.0	0.0
TCGA-DQ-5625-01	2.5506	1.4036	2.87	2.5429	3.2724	3.5622	0.7171	1.2624	0.0	0.0
TCGA-DQ-5624-01	-0.9288	-0.1545	-0.7972	-0.6836	-0.5621	-0.5052	-0.8162	-1.0274	0.0	0.0
TCGA-D6-6517-01	-0.6215	-1.0914	-0.9161	-0.805	-0.6056	-0.5204	-0.4449	-0.8356	0.0	0.0
TCGA-D6-6516-01	1.0433	0.0568	1.6943	0.704	-0.2867	-0.2853	-0.1259	0.9296	0.0	0.0
TCGA-D6-6515-01	2.1189	1.9385	1.4176	3.0263	0.6628	2.2026	0.777	1.0009	0.0	0.0
TCGA-CR-6493-01	-0.2512	-0.2348	-0.8274	-0.0435	-0.5317	-0.2578	-0.0361	-0.3627	0.0	0.0
TCGA-CR-6491-01	-0.1803	-0.3105	-0.1795	-0.4901	-0.4822	-0.4583	-0.513	-0.5801	0.0	0.0
TCGA-CR-6487-01	1.3344	0.6676	0.8111	1.2329	1.8757	-0.121	0.7225	0.6841	0.0	0.0
TCGA-CR-6484-01	2.9465	1.103	1.5052	0.4621	0.2238	-0.3438	0.4086	0.7961	0.0	0.0
TCGA-CR-6482-01	0.3964	0.4355	0.0814	0.4834	0.5569	-0.3593	0.2308	0.5926	0.0	0.0
TCGA-CR-6481-01	-0.0701	0.2276	0.3694	0.3897	1.8197	-0.2498	-0.0968	-0.7281	0.0	0.0
TCGA-CR-6480-01	-0.0576	-1.5423	-0.1474	-0.4585	-0.4946	-0.4698	-0.2204	-0.5036	0.0	0.0
TCGA-CR-6478-01	9.9004	0.1092	1.0076	3.3458	0.8259	1.8209	7.4911	0.9732	0.0	0.0
TCGA-CR-6477-01	-0.8201	-0.0013	-0.9217	-0.92	-0.6007	-0.4835	-0.6343	-0.9719	0.0	0.0
TCGA-CR-6474-01	-0.6129	0.0305	-0.7658	-0.3629	0.101	-0.4051	-0.5308	-0.7396	0.0	0.0
TCGA-CR-6473-01	-1.0166	-1.0881	0.4608	-0.8241	-0.5338	-0.2496	-0.7035	-1.0622	0.0	0.0
TCGA-CR-6472-01	-1.3457	-1.4225	-0.9407	-1.2419	-0.3805	-0.5089	-0.9231	-1.5927	0.0	0.0
TCGA-CR-6471-01	-0.2047	-0.0294	0.1473	0.3841	-0.2655	-0.2885	-0.6247	0.0681	0.0	0.0
TCGA-CR-6470-01	0.0135	-0.3747	1.0824	0.4906	0.2418	0.3273	-0.1783	-1.1464	0.0	0.0
TCGA-CR-6467-01	-0.6362	-0.7753	0.2629	-0.4744	0.2188	-0.4076	-0.5016	-0.4995	0.0	0.0
TCGA-CQ-5331-01	2.6638	0.8718	0.7489	2.8781	4.3141	2.1245	0.6409	1.8783	0.0	0.0
TCGA-CQ-5326-01	-0.1364	-0.2788	-0.7289	0.5891	-0.5449	-0.5209	-0.07	-0.4034	0.0	0.0
TCGA-CN-4733-01	2.2293	0.3559	0.8284	1.3737	0.667	0.7218	1.3764	0.1841	0.0	0.0
TCGA-BB-4227-01	-1.1675	-1.0101	-1.1287	-1.3995	-0.6359	-0.5359	-0.7828	-1.4303	0.0	0.0
TCGA-BA-6873-01	1.1086	0.85	-0.4104	1.2716	1.4116	0.2758	0.5274	1.4816	0.0	0.0
TCGA-BA-6872-01	-0.4064	-0.1415	-0.8614	-0.3908	-0.4766	-0.4753	-0.4611	-0.3357	0.0	0.0
TCGA-BA-6871-01	-0.383	0.0719	-0.0814	-0.8714	-0.5057	-0.4333	0.0425	-0.0549	0.0	0.0
TCGA-BA-6870-01	-0.0043	1.0867	-0.9092	-1.0583	-0.6337	-0.525	0.1131	-0.0654	0.0	0.0
TCGA-BA-6869-01	-0.5895	-0.9322	-0.4481	-1.0646	-0.5822	-0.4692	-0.5492	-0.6885	0.0	0.0
TCGA-BA-5152-01	0.1094	1.4342	-0.0698	0.8916	-0.4148	-0.055	-0.0263	-0.2678	0.0	0.0
TCGA-CV-6441-01	-0.7976	0.4235	-0.4929	-0.7896	-0.6294	-0.5189	-0.2136	-1.181	0.0	0.0
TCGA-CV-6436-01	0.6504	-0.2171	0.1295	-0.1747	0.4786	1.023	1.7128	-0.0942	0.0	0.0
TCGA-CV-6433-01	0.9719	0.8906	0.2735	0.9841	1.534	1.0039	1.0863	0.2257	0.0	0.0
TCGA-CV-6003-01	0.0177	-0.0865	-0.9349	-0.0082	-0.5677	-0.3516	0.2802	-0.0952	0.0	0.0
TCGA-CV-5979-01	-0.2546	0.7216	-1.0875	-0.1401	-0.5711	-0.3607	-0.1137	-0.3299	0.0	0.0
TCGA-CV-5978-01	-0.8741	-0.2578	-1.1442	-0.3059	-0.6141	-0.5209	-0.7972	-0.4131	0.0	0.0
TCGA-CV-5977-01	1.3482	-0.043	0.2156	0.0499	-0.0179	1.5371	0.1911	0.5143	0.0	0.0
TCGA-CV-5976-01	-0.3953	-0.5041	-0.5567	-0.3876	-0.4631	-0.4254	-0.5627	-0.2587	0.0	0.0
TCGA-CV-5973-01	-1.0544	-1.1176	-1.0501	-1.1194	-0.6197	-0.4573	-0.8071	-1.0952	0.0	0.0
TCGA-CV-5971-01	-0.6821	-0.5043	-0.4882	-0.6009	-0.3702	-0.169	-0.3852	-0.7755	0.0	0.0
TCGA-CV-5970-01	-0.5766	-0.7002	-0.8772	-0.2872	-0.3324	-0.4098	-0.606	-0.4667	0.0	0.0
TCGA-CV-5966-01	3.2937	0.4495	0.3727	1.15	-0.4747	0.9771	3.1859	3.7526	0.0	0.0
TCGA-CV-5439-01	0.9885	0.6157	0.8675	0.6773	-0.4906	-0.4053	0.5897	1.3561	0.0	0.0
TCGA-CV-5435-01	-0.6598	-1.4382	-1.0743	-1.0875	-0.6047	-0.5313	-0.6004	-1.0485	0.0	0.0
